"user id	","tweets content	",created on,
CNN,"The Port of Los Angeles has canceled 40 vessel calls and estimates it has experienced a 25% drop in overall volumes this month compared to February of last year that is “largely due to coronavirus,” according to a spokesman for the port https://t.co/OQWYqKOgDT",2/29/2020 9:20,
CNN,"Microsoft founder Bill Gates wrote an op-ed in the New England Journal of Medicine calling the coronavirus a ""once-in-a-century pandemic,"" and urged leaders to both ""solve the immediate problem and keep it from happening again"" https://t.co/RhC4auQSO5",2/29/2020 9:15,
CNN,"The Centers for Disease Control has some suggestions about facial hair and using face masks https://t.co/4N7GxnUFmG

(Clarification: The CDC issued its guidance in 2017 for facepiece respirator use. It is not specific to coronavirus.)",2/29/2020 9:03,
CNN,"The patient didn't have any relevant travel history or exposure to another known patient, and wasn't one of the evacuees repatriated from China, health officials say.

Follow the latest updates: https://t.co/O7iXsHEJO8",2/29/2020 8:51,
CNN,"JUST IN: A new case of coronavirus in California is the second in the US of unknown origin, health officials say https://t.co/mbdY6cCVqb",2/29/2020 8:46,
CNN,"Rep. John Ratcliffe had been nominated as Trump's DNI pick after Dan Coats stepped down from the post in July 2019, but the Texas congressman withdrew his name from consideration after lawmakers from both parties raised concerns about his qualifications https://t.co/k429uf5dBb",2/29/2020 8:33,
CNN,"As Americans prepare to vote in South Carolina and Super Tuesday states, concerns are growing about the spread of coronavirus. Listen to the latest #TheDailyDC podcast for analysis. https://t.co/bDOv78Loq4 https://t.co/9ZhmVlQDJP",2/29/2020 8:19,
CNN,"President Trump said he intends to nominate Rep. John Ratcliffe, a Republican from Texas, as his permanent director of national intelligence https://t.co/PIihaKsvFJ",2/29/2020 8:12,
CNN,"The coronavirus outbreak in Hong Kong comes after an extended period of social unrest. Protests appear to have fizzled out, but the movement lives on during the outbreak as many openly challenge the government's response. Watch ""Go There"" on Facebook, 8pET https://t.co/yoLUCwGZjS https://t.co/Swb2ur9GB0",2/29/2020 7:59,
CNN,"French automaker Citroën has unveiled the Ami, a tiny electric car that's designed from the outset to be as cheap as possible. The car isn't very fast and it looks a bit like a washing machine, but it only costs €6,000, or the equivalent of about $6,600. https://t.co/s7JBmWQmoS",2/29/2020 7:50,
CNN,"When Garth Brooks posted photos of himself wearing the No. 20 jersey of legendary Detroit Lions running back Barry Sanders, some social media users mistakenly interpreted it as an endorsement of 2020 Democratic presidential candidate Sen. Bernie Sanders https://t.co/aiYBPtavwB",2/29/2020 7:40,
CNN,"RT @CNNTonight: As the World Health Organization announces the coronavirus outbreak has reached the “highest level” of risk for the world,…",2/29/2020 7:23,
CNN,"The Wisconsin Appeals Court has ruled that more than 200,000 voters who were set to be purged from the state's voter rolls will officially stay registered, court documents show https://t.co/E0IDrJyez3",2/29/2020 7:18,
CNN,"The best protection against coronavirus is washing your hands -- but you have to do it properly:

🚿  Wet your hands

🚿  Lather, making sure to get soap in all the nooks and crannies 

🚿  Scrub for *20 seconds*

🚿  Rinse and *dry thoroughly*

https://t.co/t8daHeRw2t",2/29/2020 7:01,
CNN,"Mexico has confirmed its second case of coronavirus. The country's government said on Twitter that its health ministry has “confirmed two cases of coronavirus in Mexico, the first in the capital and the second in Sinaloa."" https://t.co/WzmkMARGNP",2/29/2020 6:52,
CNN,"Florida Gov. Ron DeSantis said that 700 people who have returned from China have been monitored for coronavirus in the state. Of those, 150 are still being monitored, 15 have tested negative and 4 are “under investigation.” https://t.co/XDJw7hSeVp",2/29/2020 6:44,
CNN,"Residents of this Swiss village are going to have to find new homes as authorities clean up a crumbling WWII ammunition depot filled with 3,500 tons of ammo and explosives. It could take a decade to remove the weapons stockpile, built inside a mountain. https://t.co/j6xwPgMG8R",2/29/2020 6:31,
CNN,"A federal appeals court dismissed the House of Representatives' lawsuit seeking to force former White House counsel Don McGahn to testify, in a major win for the White House in its attempts to block officials from testifying to Congress https://t.co/E5Bybnh2yd",2/29/2020 6:21,
